"EDULIT_IND","Indicator","LOCATION","Country","TIME","Time","Value","Flag Codes","Flags"
"EA_3T8_AG25T99_M","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)","USA","United States of America","2009","2009",86.25327,,
"EA_3T8_AG25T99_M","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)","USA","United States of America","2010","2010",86.60009,,
"EA_3T8_AG25T99_M","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)","USA","United States of America","2011","2011",87.10221,,
"EA_3T8_AG25T99_M","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)","USA","United States of America","2012","2012",87.29109,,
"EA_3T8_AG25T99_M","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, male (%)","USA","United States of America","2013","2013",87.63709,,
"EA_2T8_AG25T99_GPI","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)","OMN","Oman","2003","2003",0.75487,,
"EA_2T8_AG25T99_GPI","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)","OMN","Oman","2008","2008",0.82478,,
"EA_2T8_AG25T99_GPI","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)","OMN","Oman","2010","2010",0.96398,,
"EA_4T8_AG25T99_M","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, male (%)","BTN","Bhutan","2012","2012",7.947,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2006","2006",0.89323,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2008","2008",0.94244,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2010","2010",0.98762,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2012","2012",0.97212,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","IRN","Iran (Islamic Republic of)","2013","2013",0.98943,,
"EA_8_AG25T99_F","Educational attainment: doctoral or equivalent (ISCED 8), population 25+ years, female (%)","RWA","Rwanda","2012","2012",0.01104,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","MDV","Maldives","2006","2006",0.63381,,
"EA_5T8_AG25T99_GPI","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, gender parity index (GPI)","RUS","Russian Federation","2010","2010",1.06658,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","ISR","Israel","2006","2006",39.4649,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","ISR","Israel","2007","2007",39.60136,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","ISR","Israel","2009","2009",40.12916,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","ISR","Israel","2010","2010",40.48514,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","ISR","Israel","2011","2011",41.86646,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","ISR","Israel","2012","2012",41.53913,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","ISR","Israel","2013","2013",42.2093,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","NZL","New Zealand","2006","2006",28.0516,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","NZL","New Zealand","2011","2011",32.23134,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","NZL","New Zealand","2012","2012",31.6255,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2004","2004",23.58522,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2005","2005",23.43621,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2006","2006",25.29423,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2007","2007",27.98474,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2008","2008",29.29307,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2009","2009",28.7935,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2010","2010",30.44525,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2011","2011",29.35167,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2012","2012",34.5025,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CYP","Cyprus","2013","2013",34.55273,,
"EA_7T8_AG25T99_GPI","Educational attainment: at least master's or equivalent (ISCED 7 or higher), population 25+ years, gender parity index (GPI)","TUR","Turkey","2013","2013",0.66177,,
"EA_6T8_AG25T99_F","Educational attainment: at least bachelor's or equivalent (ISCED 6 or higher), population 25+ years, female (%)","ZWE","Zimbabwe","2012","2012",2.4011,,
"EA_7T8_AG25T99_GPI","Educational attainment: at least master's or equivalent (ISCED 7 or higher), population 25+ years, gender parity index (GPI)","MDA","Republic of Moldova","2013","2013",1.15193,,
"EA_7T8_AG25T99","Educational attainment: at least master's or equivalent (ISCED 7 or higher), population 25+ years, both sexes (%)","FIN","Finland","2012","2012",10.42317,,
"EA_7T8_AG25T99","Educational attainment: at least master's or equivalent (ISCED 7 or higher), population 25+ years, both sexes (%)","FIN","Finland","2013","2013",10.78516,,
"EA_3T8_AG25T99","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)","MLT","Malta","2005","2005",22.76704,,
"EA_3T8_AG25T99","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)","MLT","Malta","2007","2007",23.0604,,
"EA_3T8_AG25T99","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)","MLT","Malta","2010","2010",25.86958,,
"EA_3T8_AG25T99","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)","MLT","Malta","2011","2011",27.3734,,
"EA_3T8_AG25T99","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)","MLT","Malta","2012","2012",32.4357,,
"EA_3T8_AG25T99","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, both sexes (%)","MLT","Malta","2013","2013",34.4805,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","ARE","United Arab Emirates","2005","2005",25.07002,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CHE","Switzerland","2009","2009",22.37752,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CHE","Switzerland","2010","2010",25.44015,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CHE","Switzerland","2011","2011",26.0078,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","CHE","Switzerland","2012","2012",27.08621,,
"EA_5T8_AG25T99_M","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, male (%)","BHS","Bahamas","2010","2010",18.32002,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","SYR","Syrian Arab Republic","2007","2007",0.6506,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","SYR","Syrian Arab Republic","2008","2008",0.71089,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","SYR","Syrian Arab Republic","2009","2009",0.76264,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","QAT","Qatar","2004","2004",63.19961,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","QAT","Qatar","2007","2007",74.15696,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","QAT","Qatar","2008","2008",77.60057,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","QAT","Qatar","2009","2009",75.51861,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","QAT","Qatar","2010","2010",75.10961,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","QAT","Qatar","2011","2011",71.0144,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","QAT","Qatar","2012","2012",75.04228,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","QAT","Qatar","2013","2013",83.63504,,
"EA_2T8_AG25T99_GPI","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)","SVK","Slovakia","2012","2012",0.99562,,
"EA_2T8_AG25T99_GPI","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, gender parity index (GPI)","SVK","Slovakia","2013","2013",0.99525,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","SSD","South Sudan","2008","2008",0.65409,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","MLT","Malta","2005","2005",8.84685,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","MLT","Malta","2007","2007",10.41032,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","MLT","Malta","2010","2010",12.09795,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","MLT","Malta","2011","2011",12.11439,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","MLT","Malta","2012","2012",13.53135,,
"EA_5T8_AG25T99_F","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, female (%)","MLT","Malta","2013","2013",15.8351,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","CHL","Chile","2004","2004",13.15652,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","CHL","Chile","2007","2007",15.05154,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","CHL","Chile","2008","2008",20.92427,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","CHL","Chile","2009","2009",26.06296,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","CHL","Chile","2010","2010",18.08044,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","CHL","Chile","2011","2011",15.81546,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","CHL","Chile","2013","2013",18.42193,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","AND","Andorra","2003","2003",94.38928,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","AND","Andorra","2004","2004",97.76525,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","AND","Andorra","2005","2005",93.91362,,
"EA_1T8_AG25T99","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, both sexes (%)","AND","Andorra","2006","2006",93.0028,,
"EA_8_AG25T99_F","Educational attainment: doctoral or equivalent (ISCED 8), population 25+ years, female (%)","PAN","Panama","2010","2010",0.19977,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2004","2004",69.54358,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2005","2005",68.63615,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2006","2006",68.54306,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2007","2007",69.64061,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2008","2008",72.63832,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2009","2009",74.7516,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2010","2010",77.97366,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2011","2011",79.61501,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2012","2012",80.31994,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","TUR","Turkey","2013","2013",80.79424,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PAK","Pakistan","2005","2005",32.16313,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PAK","Pakistan","2006","2006",44.04224,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PAK","Pakistan","2008","2008",43.1063,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PAK","Pakistan","2009","2009",43.62115,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PAK","Pakistan","2010","2010",44.90627,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PAK","Pakistan","2011","2011",46.09349,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PAK","Pakistan","2012","2012",45.12878,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PAK","Pakistan","2013","2013",45.21171,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PHL","Philippines","2004","2004",62.38301,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PHL","Philippines","2008","2008",63.79352,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PHL","Philippines","2010","2010",65.84034,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","PHL","Philippines","2013","2013",68.99058,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","MUS","Mauritius","2011","2011",0.83648,,
"EA_6T8_AG25T99_F","Educational attainment: at least bachelor's or equivalent (ISCED 6 or higher), population 25+ years, female (%)","SEN","Senegal","2011","2011",1.0888,,
"EA_6T8_AG25T99_F","Educational attainment: at least bachelor's or equivalent (ISCED 6 or higher), population 25+ years, female (%)","SEN","Senegal","2013","2013",1.80182,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","MDA","Republic of Moldova","2007","2007",97.6985,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","MDA","Republic of Moldova","2008","2008",98.33831,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","MDA","Republic of Moldova","2009","2009",98.57423,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","MDA","Republic of Moldova","2010","2010",98.49603,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","MDA","Republic of Moldova","2011","2011",98.48751,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","MDA","Republic of Moldova","2012","2012",98.7895,,
"EA_1T8_AG25T99_F","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, female (%)","MDA","Republic of Moldova","2013","2013",98.87742,,
"EA_2T8_AG25T99_M","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, male (%)","HRV","Croatia","2011","2011",93.77158,,
"EA_2T8_AG25T99","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)","SEN","Senegal","2006","2006",7.54719,,
"EA_2T8_AG25T99","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)","SEN","Senegal","2011","2011",10.84601,,
"EA_2T8_AG25T99","Educational attainment: at least completed lower secondary (ISCED 2 or higher), population 25+ years, both sexes (%)","SEN","Senegal","2013","2013",13.88541,,
"EA_3T8_AG25T99_GPI","Educational attainment: at least completed upper secondary (ISCED 3 or higher), population 25+ years, gender parity index (GPI)","GEO","Georgia","2012","2012",0.97346,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","BRA","Brazil","2006","2006",1.12566,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","BRA","Brazil","2007","2007",1.20331,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","BRA","Brazil","2008","2008",1.19203,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","BRA","Brazil","2009","2009",1.21657,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","BRA","Brazil","2010","2010",1.25498,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","BRA","Brazil","2011","2011",1.25156,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","BRA","Brazil","2012","2012",,"a","Category not applicable"
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","BRA","Brazil","2013","2013",1.2601,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2004","2004",0.98283,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2005","2005",1.00202,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2007","2007",1.00735,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2008","2008",1.03266,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2009","2009",1.03892,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2010","2010",1.0204,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2011","2011",1.02429,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2012","2012",1.02817,,
"EA_4T8_AG25T99_GPI","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, gender parity index (GPI)","FRA","France","2013","2013",1.03645,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","BLZ","Belize","2005","2005",11.05403,,
"EA_5T8_AG25T99","Educational attainment: at least completed short-cycle tertiary (ISCED 5 or higher), population 25+ years, both sexes (%)","BLZ","Belize","2010","2010",5.7185,,
"EA_7T8_AG25T99_F","Educational attainment: at least master's or equivalent (ISCED 7 or higher), population 25+ years, female (%)","MDA","Republic of Moldova","2013","2013",0.60565,,
"EA_1T8_AG25T99_M","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, male (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2009","2009",99.8457,,
"EA_1T8_AG25T99_M","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, male (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2010","2010",99.87633,,
"EA_1T8_AG25T99_M","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, male (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2011","2011",99.89578,,
"EA_1T8_AG25T99_M","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, male (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2012","2012",99.86135,,
"EA_1T8_AG25T99_M","Educational attainment: at least completed primary (ISCED 1 or higher), population 25+ years, male (%)","GBR","United Kingdom of Great Britain and Northern Ireland","2013","2013",99.86799,,
"EA_4T8_AG25T99_F","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, female (%)","FJI","Fiji","2007","2007",14.55701,,
"EA_7T8_AG25T99_GPI","Educational attainment: at least master's or equivalent (ISCED 7 or higher), population 25+ years, gender parity index (GPI)","RWA","Rwanda","2012","2012",0.29345,,
"EA_4T8_AG25T99","Educational attainment: at least completed post-secondary (ISCED 4 or higher), population 25+ years, both sexes (%)","KEN","Kenya","2009","2009",7.72848,,
